Date,Symbol,Open,High,Low,Close,ATR14,BufPct,Buffer,GreenRail,RedRail
2026-01-01,BTCUSD,87497.95,88798.99,87361.74,88738.34,2600.39,0.15,390.058,89189.05,86971.68
2026-01-02,BTCUSD,88742.0,90935.22,88272.08,89957.99,2604.87,0.15,390.730,91325.95,87881.35
2026-01-03,BTCUSD,89958.0,90697.00,89284.13,90598.02,2519.73,0.15,377.959,91074.96,88906.17
2026-01-04,BTCUSD,90598.01,91764.64,90598.01,91494.00,2423.08,0.15,363.461,92128.10,90234.55
2026-01-05,BTCUSD,91489.03,94825.27,91479.28,93870.06,2489.00,0.15,373.350,95198.62,91105.93
2026-01-06,BTCUSD,93870.06,94439.63,91203.13,93722.01,2542.39,0.15,381.359,94820.99,90821.77
2026-01-07,BTCUSD,93722.01,93722.01,90576.24,91279.73,2585.49,0.15,387.824,94109.83,90188.42
2026-01-08,BTCUSD,91279.73,91580.01,89200.00,91026.00,2570.81,0.15,385.622,91965.63,88814.38
2026-01-09,BTCUSD,91024.01,91944.52,89583.58,90515.45,2555.82,0.15,383.373,92327.89,89200.21
2026-01-10,BTCUSD,90515.12,90698.00,90251.43,90385.54,2405.16,0.15,360.774,91058.77,89890.66
2026-01-11,BTCUSD,90387.36,91173.12,90109.00,90872.01,2309.37,0.15,346.406,91519.53,89762.59
2026-01-12,BTCUSD,90878.51,92406.30,90003.46,91188.09,2316.05,0.15,347.407,92753.71,89656.05
2026-01-13,BTCUSD,91188.08,96250.00,90925.17,95384.23,2530.96,0.15,379.644,96629.64,90545.53
2026-01-14,BTCUSD,95385.59,97963.62,94518.63,96955.16,2596.25,0.15,389.437,98353.06,94129.19
2026-01-15,BTCUSD,96954.02,97176.42,95066.19,95587.65,2561.53,0.15,384.230,97560.65,94681.96
2026-01-16,BTCUSD,95578.2,95830.49,94229.04,95504.00,2492.96,0.15,373.943,96204.43,93855.10
2026-01-17,BTCUSD,95503.99,95600.00,94980.12,95109.99,2359.17,0.15,353.875,95953.87,94626.25
2026-01-18,BTCUSD,95109.99,95485.00,93559.78,93633.53,2328.17,0.15,349.225,95834.23,93210.55
2026-01-19,BTCUSD,93630.0,93630.00,91935.30,92559.66,2283.17,0.15,342.476,93972.48,91592.82
2026-01-20,BTCUSD,92559.65,92807.99,87767.53,88310.60,2480.12,0.15,372.018,93180.01,87395.51
2026-01-21,BTCUSD,88310.6,90500.00,87156.00,89363.71,2541.83,0.15,381.274,90881.27,86774.73
2026-01-22,BTCUSD,89363.71,90273.35,88408.65,89463.50,2493.46,0.15,374.019,90647.37,88034.63
2026-01-23,BTCUSD,89463.51,91147.01,88440.65,89474.93,2508.67,0.15,376.300,91523.31,88064.35
2026-01-24,BTCUSD,89474.94,89832.72,89007.01,89082.17,2388.46,0.15,358.269,90190.99,88648.74
2026-01-25,BTCUSD,89082.16,89177.95,86000.13,86561.94,2444.84,0.15,366.726,89544.68,85633.40
2026-01-26,BTCUSD,86561.94,88787.97,86411.70,88250.01,2439.94,0.15,365.991,89153.96,86045.71
2026-01-27,BTCUSD,88250.0,89447.21,87180.01,89116.96,2427.60,0.15,364.141,89811.35,86815.87
2026-01-28,BTCUSD,89116.96,90476.81,88706.32,89162.40,2380.67,0.15,357.100,90833.91,88349.22
2026-01-29,BTCUSD,89162.4,89210.16,83216.21,84513.20,2638.76,0.15,395.814,89605.97,82820.40
2026-01-30,BTCUSD,84513.19,84599.00,81000.12,84110.99,2707.34,0.15,406.101,85005.10,80594.02
2026-01-31,BTCUSD,84110.99,84138.00,75644.15,78648.00,3120.66,0.15,468.099,84606.10,75176.05
2026-02-01,BTCUSD,78648.0,79337.99,75612.75,76895.53,3163.85,0.15,474.577,79812.57,75138.17
2026-02-02,BTCUSD,76895.99,79339.00,74502.21,78666.85,3283.34,0.15,492.501,79831.50,74009.71
2026-02-03,BTCUSD,78666.84,79123.75,72859.00,75661.49,3496.30,0.15,524.445,79648.19,72334.56
2026-02-04,BTCUSD,75661.49,76876.54,71703.72,72998.00,3616.05,0.15,542.408,77418.95,71161.31
2026-02-05,BTCUSD,72999.0,73173.96,62181.65,62791.00,4142.93,0.15,621.439,73795.40,61560.21
2026-02-06,BTCUSD,62788.28,71707.18,60000.00,70527.70,4683.23,0.15,702.485,72409.66,59297.52
2026-02-07,BTCUSD,70521.08,71648.05,67293.26,69244.74,4659.77,0.15,698.966,72347.02,66594.29
2026-02-08,BTCUSD,69250.0,72232.17,68840.83,70279.33,4569.17,0.15,685.375,72917.55,68155.45
2026-02-09,BTCUSD,70279.32,71380.13,68233.01,70101.99,4467.59,0.15,670.139,72050.27,67562.87
2026-02-10,BTCUSD,70101.98,70489.99,67857.00,68803.65,4336.55,0.15,650.483,71140.47,67206.52
2026-02-12,BTCUSD,67346.99,68382.90,65065.47,66208.00,4293.81,0.15,644.071,69026.97,64421.40
2026-02-13,BTCUSD,66207.99,69434.20,65799.71,68850.00,4246.72,0.15,637.007,70071.21,65162.70
2026-02-14,BTCUSD,68812.0,70531.53,68702.25,69756.60,4074.04,0.15,611.106,71142.64,68091.14
2026-02-15,BTCUSD,69786.96,70941.65,68020.00,68792.00,3991.73,0.15,598.759,71540.41,67421.24
2026-02-16,BTCUSD,68792.0,70089.99,67251.81,68858.13,3909.33,0.15,586.400,70676.39,66665.41
2026-02-17,BTCUSD,68859.55,69199.51,66569.58,67460.40,3817.95,0.15,572.692,69772.20,65996.89
2026-02-18,BTCUSD,67466.7,68438.83,65812.57,66440.00,3732.83,0.15,559.924,68998.75,65252.65
2026-02-19,BTCUSD,66419.78,67288.22,65604.63,66957.46,3586.45,0.15,537.968,67826.19,65066.66
